Timestamp,Height of the Plant(cm),Plant Temperature(°C),Humidity(RH),Pressure(Pa)
2024-06-01 0:15,12,32.85,76.44,100212.89
2024-06-01 5:17,12,30.74,63.86,100214.11
2024-06-01 10:19,12,33.12,77.5,100213.36
2024-06-01 15:21,12,31.32,70.17,100208.56
2024-06-01 20:23,12,32.66,75.99,100217.77
2024-06-02 1:25,12,30.67,64.04,100207.88
2024-06-02 6:27,12,33.13,76.58,100212.13
2024-06-02 11:29,12,31.45,71.42,100211.33
2024-06-02 16:31,12,32.88,77.52,100217.14
2024-06-02 21:33,12,30.55,62.56,100210.36
2024-06-03 2:35,11,33.05,75.87,100209.95
2024-06-03 7:37,11,31.37,69.96,100213.27
2024-06-03 12:39,12,32.74,76.3,100217.06
2024-06-03 17:41,11,30.72,63.79,100214.57
2024-06-03 22:43,11,33.04,77.65,100208.92
2024-06-04 3:45,11,31.23,68.73,100209.73
2024-06-04 8:47,11,32.76,75.78,100212.96
2024-06-04 13:49,11,30.78,63.65,100213.78
2024-06-04 18:51,13,33.17,77.86,100212.25
2024-06-04 23:53,12,31.36,70.57,100210.88
2024-06-05 4:55,12,32.59,76.67,100214.73
2024-06-05 9:57,12,30.62,62.96,100213.96
2024-06-05 14:59,12,33.06,75.98,100208.32
2024-06-05 20:01,12,31.28,68.62,100215.17
2024-06-06 1:03,12,32.84,77.63,100210.61
2024-06-06 6:05,12,30.77,63.57,100209.71
2024-06-06 11:07,12,33.1,76.9,100212.87
2024-06-06 16:09,12,31.24,70.13,100217.84
2024-06-06 21:11,12,32.65,75.94,100207.92
2024-06-07 2:13,12,30.68,64.21,100208.27
2024-06-07 7:15,11,33.11,77.12,100210.68
2024-06-07 12:17,12,31.38,68.45,100217.27
2024-06-07 17:19,12,32.8,76.28,100208.34
2024-06-07 22:21,12,30.77,63.76,100214.64
2024-06-08 3:23,12,33.05,75.74,100208.85
2024-06-08 8:25,12,31.29,69.74,100213.22
2024-06-08 13:27,12,32.88,77.76,100214.04
2024-06-08 18:29,12,30.6,62.85,100209.14
2024-06-08 23:31,16,33.12,76.5,100212.53
2024-06-09 4:33,12,31.33,70.29,100208.29
2024-06-09 9:35,12,32.64,76.42,100215.13
2024-06-09 14:37,12,30.68,63.97,100212.77
2024-06-09 19:39,12,33.07,75.96,100217.22
2024-06-10 0:41,12,31.21,68.94,100211.85
2024-06-10 5:43,12,32.75,77.13,100209.84
2024-06-10 10:45,13,30.81,64.15,100213.57
2024-06-10 15:47,12,33.01,76.23,100208.35
2024-06-10 20:49,12,31.37,71.29,100211.34
2024-06-11 1:00,13,32.7,77.42,100210.22
2024-06-11 6:02,12,30.75,62.89,100209.97
2024-06-11 11:04,12,33,75.91,100210.4
2024-06-11 16:06,13,31.28,69.77,100214.56
2024-06-11 21:08,12,32.67,76.29,100208.81
2024-06-12 2:10,13,30.69,63.85,100214.36
2024-06-12 7:12,12,33.13,77.9,100212.24
2024-06-12 12:14,12,31.32,70.2,100217.62
2024-06-12 17:16,12,32.55,75.88,100212.47
2024-06-12 22:18,14,30.75,63.77,100211.26
2024-06-13 3:20,13,33.07,76.9,100210.11
2024-06-13 8:22,13,31.33,69.94,100215.17
2024-06-13 13:24,13,32.71,77.63,100215
2024-06-13 18:26,13,30.64,62.55,100208.88
2024-06-13 23:28,13,33.12,75.88,100210.82
2024-06-14 4:30,13,31.37,68.62,100215.01
2024-06-14 9:32,12,32.8,76.32,100214.36
2024-06-14 14:34,13,30.69,64.19,100207.58
2024-06-14 19:36,12,33.13,77.58,100214.84
2024-06-14 23:38,13,31.3,70.28,100208.63
2024-06-15 4:40,13,32.63,75.79,100213.23
2024-06-15 9:42,13,30.75,63.88,100212.2
2024-06-15 14:44,13,33.02,76.57,100212.38
2024-06-15 19:46,13,31.38,71.35,100213.59
2024-06-15 23:48,13,32.68,77.5,100209.62
2024-06-16 4:50,12,30.62,64.14,100213.01
2024-06-16 9:52,12,33.1,76.72,100214.72
2024-06-16 14:54,13,31.31,69.86,100214.37
2024-06-16 19:56,13,32.85,77.59,100209.83
2024-06-16 23:58,13,30.75,62.72,100209.36
2024-06-17 5:00,13,33.04,76.37,100211.36
2024-06-17 10:02,13,31.23,70.43,100214.82
2024-06-17 15:04,13,32.79,76.53,100215.38
2024-06-17 20:06,12,30.8,63.69,100213.66
2024-06-18 1:08,13,33.11,75.8,100211.54
2024-06-18 6:10,13,31.32,69.94,100215.66
2024-06-18 11:12,12,32.7,77.29,100215.72
2024-06-18 16:14,13,30.56,63.76,100213.62
2024-06-18 21:16,13,33.07,76.86,100210.42
2024-06-19 2:18,12,31.34,71.12,100209.77
2024-06-19 7:20,12,32.84,76.29,100217.01
2024-06-19 12:22,13,30.62,63.95,100208.34
2024-06-19 17:24,13,33.01,77.71,100214.53
2024-06-19 22:26,13,31.23,68.64,100208.92
2024-06-20 3:28,13,32.63,76.51,100214.21
2024-06-20 8:30,13,30.7,64.06,100208.78
2024-06-20 13:32,13,33.08,76.95,100209.54
2024-06-20 18:34,13,31.31,70.48,100214.36
2024-06-20 23:36,13,32.79,75.89,100215.45
2024-06-21 4:38,13,30.62,63.94,100213.62
2024-06-21 9:40,13,33.14,76.54,100210.75
2024-06-21 14:42,13,31.24,68.92,100214.71
2024-06-21 19:44,12,32.86,77,100211.98
2024-06-21 23:46,13,30.75,64.04,100209.71
2024-06-22 4:48,14,33.12,75.76,100215.13
2024-06-22 9:50,13,31.38,70.22,100214.38
2024-06-22 14:52,14,32.69,77.47,100207.87
2024-06-22 19:54,14,30.64,63.58,100213.84
2024-06-22 23:56,14,33.01,76.98,100211.36
2024-06-23 4:58,14,31.19,68.48,100210.53
2024-06-23 10:00,14,32.84,75.96,100212.45
2024-06-23 15:02,14,30.71,62.86,100210.67
2024-06-23 20:04,14,33.06,77.33,100214.13
2024-06-24 1:06,14,31.26,70,100208.48
2024-06-24 6:08,14,32.72,76.16,100211.92
2024-06-24 11:10,14,30.74,64.03,100213.04
2024-06-24 16:12,14,33.13,75.83,100217.33
2024-06-24 21:14,14,31.33,69.97,100208.55
2024-06-25 2:16,14,32.68,76.27,100214.28
2024-06-25 7:18,14,30.56,63.85,100210.14
2024-06-25 12:20,14,33,77.48,100209.16
2024-06-25 17:22,14,31.27,70.34,100213.96
2024-06-25 22:24,14,32.64,75.99,100211.33
2024-06-26 3:26,14,30.77,62.71,100214.2
2024-06-26 8:28,14,33.08,76.87,100209.64
2024-06-26 13:30,14,31.28,68.73,100217.15
2024-06-26 18:32,14,32.7,77.24,100210.96
2024-06-26 23:34,14,30.55,63.89,100210.87
2024-06-27 4:36,14,33.12,75.86,100213.43
2024-06-27 9:38,14,31.34,69.72,100215.26
2024-06-27 14:40,14,32.78,76.16,100217.09
2024-06-27 19:42,14,30.72,64.09,100208.92
2024-06-28 0:44,13,33,77,100209.65
2024-06-28 5:46,14,31.23,70,100212.16
2024-06-28 10:48,14,32.77,76.67,100212.15
2024-06-28 15:50,15,30.6,63.71,100215.34
2024-06-28 20:52,14,33.09,75.88,100211.81
2024-06-29 1:54,14,31.3,68.88,100213.2
2024-06-29 6:56,14,32.84,77.09,100212.92
2024-06-29 11:58,14,30.69,64.02,100214.09
2024-06-29 17:00,14,33.16,76.33,100212.56
2024-06-29 22:02,14,31.31,70.4,100209.9
2024-06-30 3:04,15,32.82,77.03,100208.78
2024-06-30 8:06,14,30.67,63.69,100212.26
2024-06-30 13:08,14,33.08,75.79,100209.37
2024-06-30 18:10,14,31.27,69.8,100210.68
2024-06-30 23:12,14,32.75,76.21,100213.94
2024-07-01 4:14,14,30.73,62.84,100214.21
2024-07-01 9:16,14,33.13,76.65,100210.14
2024-07-01 14:18,14,31.36,71.14,100209.46
2024-07-01 19:20,14,32.8,77.2,100217.18
2024-07-02 0:22,14,30.6,63.99,100213.73
2024-07-02 5:24,14,33.07,75.93,100211.79
2024-07-02 10:26,14,31.22,68.74,100209.77
2024-07-02 15:28,14,32.66,76.48,100211.48
2024-07-02 20:30,14,30.77,63.75,100210.54
2024-07-03 1:32,15,33,76.22,100208.41
2024-07-03 6:34,14,31.35,71.31,100212.5
2024-07-03 11:36,14,32.78,77.3,100214.08
2024-07-03 16:38,14,30.6,62.57,100209.14
2024-07-03 21:40,15,33.12,76.84,100214.33
2024-07-04 2:42,14,31.27,70.38,100210.92
2024-07-04 7:44,15,32.64,75.81,100215.13
2024-07-04 12:46,14,30.8,64.05,100213.74
2024-07-04 17:48,15,33.08,77.27,100209.74
2024-07-04 22:50,14,31.21,69.99,100212.77
2024-07-05 3:52,14,32.85,76.42,100217.11
2024-07-05 8:54,14,30.69,63.88,100208.95
2024-07-05 13:56,14,33.12,75.86,100213.77
2024-07-05 18:58,14,31.25,70.51,100213.62
2024-07-06 0:00,15,32.8,76.72,100208.57
2024-07-06 5:02,15,30.76,64.1,100211.91
2024-07-06 10:04,14,33,75.83,100217.32
2024-07-06 15:06,15,31.28,69.82,100215.34
2024-07-06 20:08,14,32.77,77.46,100209.18
2024-07-07 1:10,14,30.66,63.73,100208.84
2024-07-07 6:12,14,33.13,75.98,100209.78
2024-07-07 11:14,14,31.24,68.87,100211.86
2024-07-07 16:16,15,32.64,76.59,100212.87
2024-07-07 21:18,15,30.73,64.11,100212.75
2024-07-08 2:20,15,33.07,77.43,100209.36
2024-07-08 7:22,15,31.38,69.85,100215.15
2024-07-08 12:24,15,32.77,76.21,100209.72
2024-07-08 17:26,15,30.72,63.98,100210.52
2024-07-08 22:28,15,33.12,75.76,100212.34
2024-07-09 3:30,15,31.34,71.15,100213.89
2024-07-09 8:32,15,32.63,77.06,100214.64
2024-07-09 13:34,15,30.62,62.81,100212.35
2024-07-09 18:36,15,33.1,76.94,100211.25
2024-07-09 23:38,15,31.27,69.99,100213.63
2024-07-10 4:40,15,32.68,77.33,100217.09
2024-07-10 9:42,15,30.67,64.05,100210.29
2024-07-10 14:44,15,33.01,75.78,100210.83
2024-07-10 19:46,15,31.32,68.62,100211.44
2024-07-11 0:48,15,32.81,76.53,100217.12
2024-07-11 5:50,15,30.68,63.76,100213.56
2024-07-11 10:52,15,33.13,77.17,100210.92
2024-07-11 15:54,16,31.24,70.2,100208.65
2024-07-11 20:56,15,32.67,76.27,100213.77
2024-07-12 1:58,15,30.77,64.03,100209.92
2024-07-12 7:00,15,33.09,75.94,100209.84
2024-07-12 12:02,15,31.28,69.9,100214.13
2024-07-12 17:04,15,32.8,76.67,100215.5
2024-07-12 22:06,15,30.63,62.87,100212.66
2024-07-13 3:08,15,33,76.32,100215.12
2024-07-13 8:10,15,31.36,70.4,100209.6
2024-07-13 13:12,15,32.66,77.21,100210.98
2024-07-13 18:14,15,30.69,63.73,100212.88
2024-07-13 23:16,15,33.04,75.96,100217.39
2024-07-14 4:18,15,31.22,68.73,100212.29
2024-07-14 9:20,15,32.84,77.41,100209.68
2024-07-14 14:22,15,30.75,62.56,100210.38
2024-07-14 19:24,15,33.09,76.76,100213.58
2024-07-15 0:26,15,31.35,71.29,100214.09
2024-07-15 5:28,15,32.73,77.32,100209.53
2024-07-15 10:30,16,30.6,63.83,100214.18
2024-07-15 15:32,16,33.07,75.83,100210.67
2024-07-15 20:34,16,31.23,69.87,100214.58
2024-07-16 1:36,16,32.81,76.47,100212.36
2024-07-16 6:38,16,30.74,64.19,100209.88
2024-07-16 11:40,16,33,77.38,100208.54
2024-07-16 16:42,16,31.25,68.6,100214.4
2024-07-16 21:44,16,32.72,77.26,100214.23
2024-07-17 2:46,16,30.77,62.64,100210.83
2024-07-17 7:48,16,33.14,75.87,100213.26
2024-07-17 12:50,16,31.28,70.28,100214.18
2024-07-17 17:52,16,32.79,76.32,100211.98
2024-07-17 22:54,16,30.6,63.78,100209.59
2024-07-18 3:56,16,33.09,77.43,100212.81
2024-07-18 8:58,15,31.34,69.91,100209.53
2024-07-18 14:00,16,32.8,76.28,100214.55
2024-07-18 19:02,16,30.76,64.12,100215.1
2024-07-19 0:04,16,33.02,75.95,100210.8
2024-07-19 5:06,16,31.27,70.09,100212.57
2024-07-19 10:08,16,32.64,77.39,100217.16
2024-07-19 15:10,16,30.75,62.84,100211.62
2024-07-19 20:12,16,33.16,76.85,100210.97
2024-07-20 1:14,17,31.28,68.54,100210.15
2024-07-20 6:16,16,32.82,77.23,100212.78
2024-07-20 11:18,16,30.7,64.05,100210.44
2024-07-20 16:20,16,33.12,75.99,100217.07
2024-07-20 21:22,16,31.35,69.93,100211.31
2024-07-21 2:24,16,32.68,76.3,100214.85
2024-07-21 7:26,17,30.62,63.79,100209.26
2024-07-21 12:28,17,33,77.14,100212.12
2024-07-21 17:30,17,31.29,70.25,100209.88
2024-07-21 22:32,16,32.8,76.45,100213.73
2024-07-22 3:34,17,30.7,62.56,100213.24
2024-07-22 8:36,17,33.07,75.87,100211.44
2024-07-22 13:38,17,31.26,68.71,100217.11
2024-07-22 18:40,17,32.72,76.29,100210.68
2024-07-22 23:42,17,30.75,63.78,100215.4
2024-07-23 4:44,17,33.04,76.44,100210.68
2024-07-23 9:46,17,31.38,70.43,100208.54
2024-07-23 14:48,17,32.76,77.42,100212.73
2024-07-23 19:50,17,30.62,64.08,100209.64
2024-07-24 0:52,17,33.13,75.87,100212.67
2024-07-24 5:54,17,31.24,69.97,100209.52
2024-07-24 10:56,17,32.8,77.06,100217.35
2024-07-24 15:58,17,30.7,63.8,100211.98
2024-07-24 21:00,17,33.1,75.79,100212.44
2024-07-25 2:02,17,31.35,70.11,100213.61
2024-07-25 7:04,17,32.71,76.23,100209.22
2024-07-25 12:06,17,30.76,64.05,100211.32
2024-07-25 17:08,17,33.13,77.15,100214.11
2024-07-25 22:10,17,31.27,69.77,100212.41
2024-07-26 3:12,17,32.69,76.28,100217.26
2024-07-26 8:14,17,30.73,62.6,100212.24
2024-07-26 13:16,17,33,75.98,100209.21
2024-07-26 18:18,17,31.32,70.15,100210.89
2024-07-26 23:20,17,32.66,77.23,100214.28
2024-07-27 4:22,17,30.77,63.85,100212.36
2024-07-27 9:24,18,33.11,75.82,100217.02
2024-07-27 14:26,18,31.3,69.99,100209.34
2024-07-27 19:28,17,32.8,76.53,100212.35
2024-07-27 23:30,18,30.61,62.59,100213.98
2024-07-28 4:32,17,33.09,76.77,100209.43
2024-07-28 9:34,17,31.23,70.21,100210.35
2024-07-28 14:36,17,32.73,77.16,100210.25
2024-07-28 19:38,17,30.65,63.78,100213.57
2024-07-28 23:40,17,33.04,75.82,100214.82
2024-07-29 4:42,18,31.32,68.64,100210.59
2024-07-29 9:44,17,32.84,76.6,100213.76
2024-07-29 14:46,18,30.72,64.04,100217.06
2024-07-29 19:48,18,33.12,75.99,100212.87
2024-07-29 23:50,18,31.27,69.85,100214.14
2024-07-30 4:52,18,32.69,77.21,100210.28
2024-07-30 9:54,18,30.73,63.95,100214.15
2024-07-30 14:56,18,33.01,76.32,100212.64
2024-07-30 19:58,18,31.31,68.97,100211.96
2024-07-30 23:00,18,32.82,77.28,100210.85
2024-07-31 4:02,18,30.63,64.12,100213.74
2024-07-31 9:04,18,33.13,75.84,100217.16
2024-07-31 14:06,18,31.28,69.94,100209.56
2024-07-31 19:08,18,32.68,76.65,100215.12
2024-07-31 23:10,18,30.72,62.76,100212.69
2024-08-01 0:12,18,33.07,77.11,100214.56
2024-08-01 5:14,18,31.27,70.32,100211.88
2024-08-01 10:16,18,32.73,76.12,100210.98
2024-08-01 15:18,18,30.77,64.12,100213.79
2024-08-01 20:20,18,33.12,75.8,100215.38
2024-08-02 1:22,18,31.36,68.72,100210.67
2024-08-02 6:24,18,32.84,77.05,100213.81
2024-08-02 11:26,18,30.7,62.83,100217.29
2024-08-02 16:28,18,33.05,76.93,100214.54
2024-08-02 21:30,18,31.28,69.88,100213.73
2024-08-03 2:32,18,32.71,76.39,100209.67
2024-08-03 7:34,18,30.67,63.97,100210.16
2024-08-03 12:36,18,33.09,75.99,100211.34
2024-08-03 17:38,18,31.32,68.77,100212.47
2024-08-03 22:40,18,32.81,76.35,100213.76
2024-08-04 3:42,19,30.68,64.14,100210.55
2024-08-04 8:44,18,33.07,75.95,100213.94
2024-08-04 13:46,18,31.23,69.78,100214.09
2024-08-04 18:48,18,32.79,77.08,100214.24
2024-08-04 23:50,18,30.74,62.68,100213.26
2024-08-05 4:52,19,33.11,76.53,100214.56
2024-08-05 9:54,19,31.36,70.25,100210.51
2024-08-05 14:56,19,32.73,76.3,100217.25
2024-08-05 19:58,19,30.75,63.91,100209.34
2024-08-05 23:00,19,33.09,75.78,100210.97
2024-08-06 4:02,19,31.3,68.65,100211.9
2024-08-06 9:04,19,32.83,77.01,100215.18
2024-08-06 14:06,19,30.68,64.09,100214.09
2024-08-06 19:08,19,33.12,76.4,100214.64
2024-08-06 23:10,19,31.29,70.03,100209.63
2024-08-07 4:12,19,32.71,76.47,100211.74
2024-08-07 9:14,19,30.71,63.78,100213.58
2024-08-07 14:16,19,33.01,77.15,100214.07
2024-08-07 19:18,19,31.35,68.93,100211.43
2024-08-07 23:20,19,32.85,76.19,100209.85
2024-08-08 4:22,19,30.62,62.79,100213.46
2024-08-08 9:24,19,33.1,75.93,100217.12
2024-08-08 14:26,19,31.33,69.91,100214.1
2024-08-08 19:28,19,32.72,76.68,100212.35
2024-08-08 23:30,19,30.69,63.75,100209.55
2024-08-09 4:32,20,33.06,77.01,100210.9
2024-08-09 9:34,19,31.3,68.57,100213.12
2024-08-09 14:36,19,32.82,76.27,100213.94
2024-08-09 19:38,19,30.7,62.72,100215.08
2024-08-09 23:40,19,33.12,75.82,100214.13
2024-08-10 4:42,20,31.36,70.14,100214.16
2024-08-10 9:44,19,32.8,77.17,100217.25
2024-08-10 14:46,20,30.66,63.84,100210.76
2024-08-10 19:48,19,33.07,76.88,100210.62
2024-08-10 23:50,20,31.22,69.93,100212.37
2024-08-11 4:52,19,32.77,76.49,100209.97
2024-08-11 9:54,20,30.74,64.12,100214.53
2024-08-11 14:56,20,33.13,75.9,100210.31
2024-08-11 19:58,20,31.27,70.2,100209.81
2024-08-11 23:00,20,32.65,76.36,100215.37
2024-08-12 4:02,20,30.77,62.81,100213.76
2024-08-12 9:04,20,33.11,76.63,100210.54
2024-08-12 14:06,20,31.24,69.84,100212.72
2024-08-12 19:08,19,32.78,77.05,100212.21
2024-08-12 23:10,20,30.63,64.06,100214.57
2024-08-13 4:12,20,33.08,76.25,100211.4
2024-08-13 9:14,20,31.32,68.97,100212.63
2024-08-13 14:16,19,32.84,77.28,100217.05
2024-08-13 19:18,20,30.67,62.9,100213.99
2024-08-13 23:20,20,33.1,76.56,100210.94
2024-08-14 4:22,20,31.27,70.07,100214.43
2024-08-14 9:24,20,32.67,76.14,100211.68
2024-08-14 14:26,20,30.66,63.74,100213.35
2024-08-14 19:28,20,33.03,75.95,100213.73
2024-08-14 23:30,20,31.36,69.91,100217.22
2024-08-15 4:32,20,32.72,76.33,100209.62
2024-08-15 9:34,20,30.69,64.06,100214.08
2024-08-15 14:36,20,33.14,76.55,100212.8
2024-08-15 19:38,20,31.28,70.05,100211.44
2024-08-15 23:40,20,32.77,77.16,100217.3
2024-08-16 4:42,20,30.75,62.82,100214.44
2024-08-16 9:44,20,33.02,76.32,100213.66
2024-08-16 14:46,20,31.23,68.68,100212.18
2024-08-16 19:48,21,32.81,77.06,100210.95
2024-08-16 23:50,20,30.66,63.77,100211.72
2024-08-17 4:52,20,33.09,75.99,100213.95
2024-08-17 9:54,20,31.3,69.93,100215.27
2024-08-17 14:56,20,32.69,76.46,100214.88
2024-08-17 19:58,21,30.7,62.8,100209.5
2024-08-18 13:00,20,33.07,77.02,100210.76
2024-08-18 18:02,20,31.25,70.07,100212.12
2024-08-18 23:04,20,32.74,76.42,100212.43
2024-08-19 4:06,20,30.75,64.14,100213.26
2024-08-19 9:08,20,33.12,76.84,100212.99
2024-08-19 14:10,20,31.36,68.96,100213.17
2024-08-19 19:12,20,32.67,77.23,100212.8
2024-08-20 0:14,20,30.65,62.67,100210.21
2024-08-20 5:16,21,33.06,76.31,100217.01
2024-08-20 10:18,21,31.24,70.1,100212.78
2024-08-20 15:20,20,32.79,76.56,100210.94
2024-08-20 20:22,21,30.72,63.85,100214.27
2024-08-21 1:24,21,33.09,75.97,100212.89
2024-08-21 6:26,21,31.32,68.89,100212.49
2024-08-21 11:28,21,32.7,76.68,100217.32
2024-08-21 16:30,20,30.77,62.77,100211.55
2024-08-21 21:32,20,33.1,76.7,100212.16
2024-08-22 2:34,20,31.26,70.01,100213.73
2024-08-22 7:36,20,32.84,76.23,100209.82
2024-08-22 12:38,20,30.66,64.08,100214.28
2024-08-22 17:40,20,33.03,75.84,100210.53
2024-08-22 22:42,20,31.36,69.99,100214.14
2024-08-23 3:44,20,32.74,76.51,100215.52
2024-08-23 8:46,20,30.62,63.97,100210.63
2024-08-23 13:48,20,33.07,76.8,100213.23
2024-08-23 18:50,20,31.33,70.23,100213.2
2024-08-23 23:52,20,32.71,76.39,100209.44
2024-08-24 4:54,20,30.76,64.15,100213.31
2024-08-24 9:56,19,33.1,75.99,100212.55
2024-08-24 14:58,19,31.31,68.84,100213.78
2024-08-24 20:00,19,32.77,77.06,100214.58
2024-08-25 1:02,19,30.69,63.86,100211.86
2024-08-25 6:04,19,33.09,76.19,100214.04
2024-08-25 11:06,20,31.28,69.83,100209.89
2024-08-25 16:08,20,32.75,76.66,100213.53
2024-08-25 21:10,20,30.75,62.67,100213.58
2024-08-26 2:12,19,33.12,76.48,100212.14
2024-08-26 7:14,19,31.3,70.26,100215.34
2024-08-26 12:16,19,32.72,76.3,100210.57
2024-08-26 17:18,20,30.71,63.91,100212.55
2024-08-26 22:20,19,33.08,76.37,100214.77
2024-08-27 3:22,19,31.27,68.95,100213.83
2024-08-27 8:24,19,32.78,76.52,100212.77
2024-08-27 13:26,19,30.73,62.69,100211.16
2024-08-27 18:28,19,33.1,76.88,100214.03
2024-08-27 23:30,19,31.35,70.17,100215.29
2024-08-28 4:32,19,32.74,76.4,100213.83
2024-08-28 9:34,19,30.67,63.72,100213.88
2024-08-28 14:36,19,33.01,75.9,100214.48
2024-08-28 19:38,19,31.28,69.86,100212.83
2024-08-28 23:40,20,32.75,77,100217.09
2024-08-29 4:42,20,30.76,64.02,100211.94
2024-08-29 9:44,19,33.08,76.25,100214.12
2024-08-29 14:46,19,31.32,68.88,100214.19
2024-08-29 19:48,20,32.8,76.65,100210.59
2024-08-30 0:50,19,30.66,62.75,100211.2
2024-08-30 5:52,20,33.07,76.74,100217.06
2024-08-30 10:54,19,31.25,70.13,100215.05
2024-08-30 15:56,20,32.77,76.24,100210.97
2024-08-30 21:58,19,30.71,63.8,100214.2
2024-08-31 2:00,19,33.08,75.99,100213.7
2024-08-31 7:02,19,31.32,68.97,100211.44
2024-08-31 12:04,19,32.78,76.4,100211.97
2024-08-31 17:06,19,30.73,62.88,100210.54
2024-08-31 22:08,19,33,76.74,100215.19